normalized_part_number,models,model_count,part_number_variants,descriptions,categories,record_count,source_file
502-PX1000A-3365,PLX-1000,1,502-PX1000A-3365,I/B,Turntable,1,parts_01.csv
505-PNTT-248,PLX-1000,1,505-PNTT-248,SLIP SHEET,Turntable,1,parts_01.csv
505-S15-117,PLX-1000,1,505-S15-117,"POLYBAG(PE,35*50MM)",Turntable,1,parts_01.csv
506-PNTT-662,PLX-1000,1,506-PNTT-662,POLYFOAM,Turntable,1,parts_01.csv
507-PNTT-3467,PLX-1000; PLX-500K; PLX-500W,3,507-PNTT-3467,SPACER,Turntable,3,parts_01.csv
604-DJ5500-262,PLX-1000,1,604-DJ5500-262,RUBBER FOR BOTTOM BA,Turntable,1,parts_01.csv
604-PNTT-638,PLX-1000,1,604-PNTT-638,SIDE RUBBER,Turntable,1,parts_01.csv
604-PNTT-639,PLX-1000,1,604-PNTT-639,LONG RUBBER,Turntable,1,parts_01.csv
604-PNTT-648,PLX-1000,1,604-PNTT-648,RUBBER,Turntable,1,parts_01.csv
612-PLX500K-095,PLX-500K,1,612-PLX500K-095,SLIPMAT K,Turntable,1,parts_01.csv
612-PLX500W-095,PLX-500W,1,612-PLX500W-095,SLIPMAT W,Turntable,1,parts_01.csv
612-PNTT-095,PLX-1000,1,612-PNTT-095,SLIPMAT,Turntable,1,parts_01.csv
612-ST150-159,PLX-1000,1,612-ST150-159,CUSHION FOR TONEARM,Turntable,1,parts_01.csv
701-PLX500-5669,PLX-500K,1,701-PLX500-5669,BASE ASSY K,Turntable,1,parts_01.csv
701-PLX500-5673,PLX-500K; PLX-500W,2,701-PLX500-5673,FOOT & WASHER ASSY,Turntable,2,parts_01.csv
701-PLX500-5704,PLX-500K; PLX-500W,2,701-PLX500-5704,HINGE ASSY,Turntable,2,parts_01.csv
701-PLX500W-5669,PLX-500W,1,701-PLX500W-5669,BASE ASS'Y W,Turntable,1,parts_01.csv
701-PNTT-5415,PLX-1000,1,701-PNTT-5415,FOOT ASS'Y,Turntable,1,parts_01.csv
702-PLX500-098,PLX-500K; PLX-500W,2,702-PLX500-098,COUNTER WEIGHT ADJUSTOR ASSY,Turntable,2,parts_01.csv
702-PNTT-075,PLX-1000,1,702-PNTT-075,ALUMINUM PLATTER ASSY,Turntable,1,parts_01.csv
702-PNTT-076,PLX-1000,1,702-PNTT-076,COUNTER WEIGHT ADJUST,Turntable,1,parts_01.csv
703-PNTT-1408,PLX-1000,1,703-PNTT-1408,BACK BOARD ASS'Y,Turntable,1,parts_01.csv
703-PNTT-1411,PLX-1000,1,703-PNTT-1411,HEADSHELL ASS'Y,Turntable,1,parts_01.csv
704-PLX-A787,PLX-1000,1,704-PLX-A787,MAIN PCB ASS'Y,Turntable,1,parts_01.csv
704-PLX-A790,PLX-1000,1,704-PLX-A790,SPEED PCB ASS'Y,Turntable,1,parts_01.csv
704-PLX-A791,PLX-1000,1,704-PLX-A791,PHONO PCB ASS'Y,Turntable,1,parts_01.csv
704-PLX-A795,PLX-1000,1,704-PLX-A795,AC SOCKET ASS'Y,Turntable,1,parts_01.csv
704-PLX-A796,PLX-1000,1,704-PLX-A796,VOLTAGE SW ASS'Y,Turntable,1,parts_01.csv
704-PLX-A800,PLX-1000,1,704-PLX-A800,D.D.MOTOR ASS'Y,Turntable,1,parts_01.csv
704-PLX-A802,PLX-1000,1,704-PLX-A802,SEARCHLIGHT ASS'Y,Turntable,1,parts_01.csv
704-PLX-A803,PLX-1000,1,704-PLX-A803,STROBOSCOPE ASS'Y,Turntable,1,parts_01.csv
704-PLX-A863,PLX-1000,1,704-PLX-A863,AC&PLAY PCB ASS'Y,Turntable,1,parts_01.csv
704-PLX500-B516,PLX-500K; PLX-500W,2,704-PLX500-B516,MAIN PCB ASSY,Turntable,2,parts_01.csv
704-PLX500-B527,PLX-500K; PLX-500W,2,704-PLX500-B527,SINGALGNAL WIRE ASSY,Turntable,2,parts_01.csv
704-PLX500-B534,PLX-500K,1,704-PLX500-B534,STROBOSCOPE ASSY K,Turntable,1,parts_01.csv
704-PLX500W-B535,PLX-500W,1,704-PLX500W-B535,STROBOSCOPE ASSY W,Turntable,1,parts_01.csv
704-PNTT-B013,PLX-1000,1,704-PNTT-B013,TONE ARM ASS'Y,Turntable,1,parts_01.csv
705-DJ1900-078,PLX-1000,1,705-DJ1900-078,RUBBER MAT PACKING,Turntable,1,parts_01.csv
705-PLX500-1649,PLX-500K; PLX-500W,2,705-PLX500-1649,HEADSHEEL & CARTRIDGE ASSY,Turntable,2,parts_01.csv
705-PLX500-1650,PLX-500K,1,705-PLX500-1650,DUST COVER * HINGE ASSY K,Turntable,1,parts_01.csv
705-PLX500-1653,PLX-500K; PLX-500W,2,705-PLX500-1653,TONE ARM PACKING ASSY,Turntable,2,parts_01.csv
705-PLX500K-1655,PLX-500K,1,705-PLX500K-1655,TOP PANEL PACKING ASSY K,Turntable,1,parts_01.csv
705-PLX500W-1656,PLX-500W,1,705-PLX500W-1656,TOP PANEL PACKING ASSY W,Turntable,1,parts_01.csv
75104Y31,SPEC-2,1,75104Y31,Service Manual SPEC-2 (75104Y31F),Amplifier,1,parts_01.csv
75AKB1,SD-1100,1,75AKB1,CRT,Other,1,parts_01.csv
A11-109,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-700T,4,A11-109-0,"Knob Selector; Knob, Selector",Receiver,4,parts_01.csv
A11-112,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-700T,4,A11-112-0; A11-112-A,"Knob, Volume, Balance, Power; Knob, Volume. Balance; Knob. Volume, Balance",Receiver,4,parts_01.csv
A11-115,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-700T,4,A11-115-0; A11-115-A,"Knob Mode Output Selector; Knob, Mode; Knob, Mode Output Selector; Knob. Mode, Output Selector",Receiver,4,parts_01.csv
A11-119,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-700T,4,A11-119-0,"Knob Tuning; Knob, Tuning",Receiver,4,parts_01.csv
A11-135,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-700T,4,A11-135-0,"Knob Bass Treble (L); Knob, Bass, Treble (L); Knob, Bass. Treble (L); Knob, Bass. Treble(L)",Receiver,4,parts_01.csv
A11-138,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-700T,4,A11-138-0,"Knob Bass Treble (R); Knob, Bass Treble (R); Knob, Bass, Treble (R); Knob, Bass. Treble(R)",Receiver,4,parts_01.csv
A12-016,SX-990,1,A12-016-0,"Knob, Bass, Treble (R)",Receiver,1,parts_01.csv
A12-065,SA-900,1,A12-065-0,"Knob, Tape Monitor. Muting",Integrated Amplifier,1,parts_01.csv
A12-095,SX-1500T,1,A12-095-A,"Knob, Tuning",Receiver,1,parts_01.csv
A12-098,SX-1500T,1,A12-098-A,"Knob, Selector",Receiver,1,parts_01.csv
A12-100,SX-1500T,1,A12-100-A,"Knob, Volume, Mode, Balance, Output Selector",Receiver,1,parts_01.csv
A12-103,SX-1500T,1,A12-103-B,"Knob, Bass, Treble (L)",Receiver,1,parts_01.csv
A12-120,SA-500; SA-700; SA-900; SX-990,4,A12-120-A; A12-120-B,"Knob, Bass, Treble (L,R); Knob, for Selector, Mode, Bass, and Treble; Knob, Selector, Volume, Bass,Treble, Output Selector; Knob, Speakers, Volume, Balance, Mode",Integrated Amplifier; Receiver,4,parts_01.csv
A12-131,SX-440; SX-770,2,A12-131-0; A12-131-A,"Knob Bass, Treble, Power; Knob, Volume, Balance, Bass Treble,Output Selector",Receiver,2,parts_01.csv
A12-134,SX-440,1,A12-134-0,Knob Volume (L),Receiver,1,parts_01.csv
A12-136,SX-440; SX-770,2,A12-136-0; A12-136-A,"Knob Selector; Knob, Selector",Receiver,2,parts_01.csv
A12-139,SX-440; SX-770,2,A12-139-0; A12-139-A,"Knob Tuning; Knob, Tuning",Receiver,2,parts_01.csv
A12-141,SA-700,1,A12-141-0,"Knob, Mode, Balance",Integrated Amplifier,1,parts_01.csv
A12-142,SA-900,1,A12-142-B,"Knob, Volume. Selector. Mode",Integrated Amplifier,1,parts_01.csv
A12-144,SA-500; SA-900; SR-202W; TX-500; TX-700; TX-900,6,A12-144; A12-144-0; A12-144-A; A12-144-O,"KNOB(PWR/FUNCT/BAL/SELECT/SPKR); Knob, Balance, Speaker Selector, Power; Knob, for Balance; Knob, Reverberation Mode and Tape Mode and Power",Integrated Amplifier; Reverb; Tuner,6,parts_01.csv
A12-146,SX-2500; TX-500; TX-900,3,A12-146; A12-146-0,Knob lor TUNING; KNOB(TUNING),Receiver; Tuner,3,parts_01.csv
A12-150,SA-500,1,A12-150-O,"Knob, Volume (R)",Integrated Amplifier,1,parts_01.csv
A12-151,SA-500,1,A12-151-O,"Knob, Volume (L)",Integrated Amplifier,1,parts_01.csv
A12-163,SX-1500TD; SX-990,2,A12-163-0,Knob Selector; Knob. Selector,Receiver,2,parts_01.csv
A12-165,SX-1500TD; SX-990,2,A12-165-0,Knob Tuning; Knob. Tuning,Receiver,2,parts_01.csv
A12-168,SX-1500TD; SX-2500; SX-990,3,A12-168-0; A12-168-B,"Knob for VOLUME; Knob, Bass, Treble (L); Knob. Bass(L), Treble(L), Volume",Receiver,3,parts_01.csv
A12-169,TX-700,1,A12-169,KNOB(TUNING),Tuner,1,parts_01.csv
A12-195,SX-9000,1,A12-195-B,"Knob for BASS, TREBLE, REVERB, BALANCE,MIC A, and MIC B",Receiver,1,parts_01.csv
A12-196,SX-9000,1,A12-196-A,Knob for TUNING,Receiver,1,parts_01.csv
A12-197,SX-9000,1,A12-197-B,"Knob for SELECTOR, TONE COLOR",Receiver,1,parts_01.csv
A12-201,SR-202W,1,A12-201-0,"Knob, Reverberation Time",Reverb,1,parts_01.csv
A12-203,SX-9000,1,A12-203-B,Knob for MODE,Receiver,1,parts_01.csv
A12-204,SD-1000; SX-2500,2,A12-204-A,Knob (without marking); Knob for FM MUTING,Other; Receiver,2,parts_01.csv
A12-217,SX-2500,1,A12-217-0,"Knob for SPEAKERS,MODE and SELECTOR",Receiver,1,parts_01.csv
A12-229,QA-800; QC-800; QL-600; QM-800; QT-6600; SA-600; SA-800; TX-500A,8,A12-229; A12-229-0; A12-229-A,"Knob for input level and meter level; Knob for Mode and Volume; Knob for VOLUME, MODE and SELECTOR; Knob for volume, selector and mode; KNOB(PWR/SEL/VOL/MODE); Knobs for Volume control, Selector switch; REC master level control knob",Amplifier; Integrated Amplifier; Pre-Amplifier; Reel To Reel Tape; Tuner,8,parts_01.csv
A12-232,QA-800; QC-800; QT-2100; QT-6100; SA-1000; SA-600; SA-800; T-6600; TX-600; TX-800,10,A12-232; A12-232-A,"Knob for bass and treble; Knob for bass, treble and speakers; Knob for POWER, BASS, TREBLE, SPEAKERS and BALANCE; KNOB(FUNCTION-PWR/TONE...ETC.); Knob, MODE selector; Knobs for Power switch, Tone, Balance controls; Middle knob",8-Track Tape; Integrated Amplifier; Pre-Amplifier; Reel To Reel Tape; Tuner,10,parts_01.csv
A12-235,TX-1000; TX-600; TX-800,3,A12-235,KNOB(TUNING/AM/FM AUTO),Tuner,3,parts_01.csv
A12-237,SD-1000; TX-1000; TX-800,3,A12-237; A12-237-A,"Knob (small, with marking); KNOB(AM/FM/OUTPUT LEVEL)",Other; Tuner,3,parts_01.csv
A12-238,TX-1000,1,A12-238,KNOB(POWER/SELECTOR),Tuner,1,parts_01.csv
A12-240,SA-1000,1,A12-240-0,Knob for Imp. switch,Integrated Amplifier,1,parts_01.csv
A12-241,QA-800; QC-800; SD-1100,3,A12-241-A; A12-241-B,"Knob (Focus, Intensity, 4-CH display); Knob for level control",Integrated Amplifier; Other; Pre-Amplifier,3,parts_01.csv
A12-244,SX-2500,1,A12-244-0,Knob for BASS and TREBLE,Receiver,1,parts_01.csv
A12-299,SA-1000,1,A12-299-A,Large knob,Integrated Amplifier,1,parts_01.csv
A12-403,T-6100; T-6600,2,A12-403,KNOB(REC LEVEL/MODE),Reel To Reel Tape,2,parts_01.csv
A12-406,QT-6100; QT-6600; T-6100; T-6600,4,A12-406; A12-406-A,"KNOB(TAPE SPEED SELECTOR); Knob, tape speed selector; Tape speed selector knob",Reel To Reel Tape,4,parts_01.csv
A12-412,T-6600; T-8800,2,A12-412,KNOB(PLAYBACK LEVEL),Reel To Reel Tape,2,parts_01.csv
A12-416,T-8800,1,A12-416,KNOB(MODE/CYCLE),Reel To Reel Tape,1,parts_01.csv
A12-417,T-8800,1,A12-417,KNOB(MIC/LINE),Reel To Reel Tape,1,parts_01.csv
A12-418,T-8800,1,A12-418,KNOB(BIAS SELECTOR),Reel To Reel Tape,1,parts_01.csv
A12-631,QL-600; SA-500A; SD-1000,3,A12-631-A; A12-631-O,"Knob (large, with marking); Knob for Bass, Treble and Level; Knob for Bass, Treble and Speakers",Integrated Amplifier; Other,3,parts_01.csv
A13-011,SX-1500T,1,A13-011-A,"Knob, Bass, Treble (R)",Receiver,1,parts_01.csv
A13-013,SX-440,1,A13-013-0,Knob Volume (R),Receiver,1,parts_01.csv
A13-016,SX-1500TD; SX-2500,2,A13-016-A; A13-016-C,"Knob for BALANCE; Knob. Bass(R), Treble(R), Balance",Receiver,2,parts_01.csv
A13-020,SX-9000,1,A13-020-B,Knob for MASTER VOLUME,Receiver,1,parts_01.csv
A13-021,SX-9000,1,A13-021-A,Knob for SOURCE VOLUME,Receiver,1,parts_01.csv
A17-401,T-8800,1,A17-401,KNOB(POWER),Reel To Reel Tape,1,parts_01.csv
A17-402,T-6100,1,A17-402,KNOB(POWER),Reel To Reel Tape,1,parts_01.csv
A17-854,T-6100; T-6600,2,A17-854,KNOB(FUNCTION LEVER),Reel To Reel Tape,2,parts_01.csv
A18-003,SX-2500,1,A18-003-A,Button for AUTO TUNING swltch,Receiver,1,parts_01.csv
A18-401,QT-6100; QT-6600; T-6600,3,A18-401; A18-401-0,"KNOB(REC LEVER); Knob, REC lever; REC lever knob",Reel To Reel Tape,3,parts_01.csv
